customer_id,plan_type,region,acquisition_channel,tenure_months,monthly_fee,monthly_usage_gb,support_tickets_90d,payment_delay_days,monthly_revenue,churned,usage_segment,value_segment,risk_band
100000,Family,East,Web,67,45.56,37.64,0,1,56.34,0,Power,High,Low
100001,Postpaid,South,Store,58,24.15,6.6,1,3,24.15,0,Moderate,Mid,Medium
100002,Family,North,App,16,42.69,13.74,0,0,43.42,0,Moderate,High,Low
100003,Postpaid,Central,App,13,30.17,19.13,1,3,33.17,0,Heavy,Mid,Medium
100004,Prepaid,North,App,25,12.15,1.75,1,1,12.15,0,Light,Low,Low
100005,Business,South,App,34,53.37,23.71,0,3,58.29,0,Heavy,High,Medium
100006,Family,South,App,22,27.63,13.44,0,2,28.23,0,Moderate,Mid,Low
100007,Family,Central,Web,7,42.65,2.23,1,4,42.65,0,Light,High,Medium
100008,Prepaid,West,App,36,21.93,8.28,1,1,21.93,1,Moderate,Mid,Low
100009,Postpaid,East,Web,30,33.24,3.92,0,1,33.24,0,Light,Mid,Low
100010,Postpaid,Central,Partner,22,28.75,12.88,0,2,29.12,1,Moderate,Mid,Low
100011,Business,North,App,60,45.34,24.77,1,1,50.7,0,Heavy,High,Low
100012,Postpaid,Central,Partner,21,37.1,21.24,0,5,40.98,0,Heavy,High,Medium
100013,Family,North,App,65,31.38,27.6,1,5,37.94,0,Heavy,High,Elevated
100014,Postpaid,South,Web,1,33.76,6.91,2,3,33.76,0,Moderate,Mid,Medium
100015,Prepaid,North,Partner,38,14.08,3.9,0,5,14.08,0,Light,Low,Medium
100016,Postpaid,Central,Web,69,23.64,10.45,1,3,23.64,0,Moderate,Mid,Medium
100017,Prepaid,Central,App,21,19.87,12.09,0,3,19.91,0,Moderate,Low,Medium
100018,Family,East,App,48,50.65,14.09,3,2,51.53,0,Moderate,High,Medium
100019,Postpaid,South,App,53,36.1,21.14,1,4,39.94,0,Heavy,High,Medium
100020,Family,South,Partner,25,29.7,0.2,1,3,29.7,0,Light,Mid,Medium
100021,Postpaid,East,App,47,36.78,17.68,1,4,39.16,0,Heavy,High,Medium
100022,Business,South,Store,47,56.62,22.96,0,1,61.23,0,Heavy,VIP,Low
100023,Family,North,App,34,25.92,25.3,0,4,31.51,0,Heavy,Mid,Medium
100024,Family,West,App,28,35.99,12.85,0,4,36.35,1,Moderate,High,Medium
100025,Prepaid,West,App,35,22.84,5.09,2,2,22.84,0,Moderate,Mid,Medium
100026,Postpaid,Central,App,11,33.26,19.31,2,3,36.33,0,Heavy,High,Medium
100027,Prepaid,East,Store,36,20.22,8.61,0,3,20.22,0,Moderate,Mid,Medium
100028,Prepaid,South,App,24,22.83,5.79,3,5,22.83,1,Moderate,Mid,Elevated
100029,Postpaid,East,Store,25,34.19,22.96,1,3,38.79,0,Heavy,High,Medium
100030,Family,North,Store,18,47.63,21.95,0,4,51.81,0,Heavy,High,Medium
100031,Business,West,App,38,68.04,10.43,0,4,68.04,0,Moderate,VIP,Medium
100032,Prepaid,West,Web,1,13.33,9.73,1,4,13.33,0,Moderate,Low,Medium
100033,Postpaid,North,Store,5,37.58,11.17,1,1,37.58,0,Moderate,High,Low
100034,Postpaid,South,Store,16,22.46,16.48,1,5,24.34,0,Heavy,Mid,Elevated
100035,Prepaid,Central,App,42,14.61,5.05,3,2,14.61,0,Moderate,Low,Medium
100036,Prepaid,East,App,19,22.11,12.4,2,1,22.28,0,Moderate,Mid,Medium
100037,Postpaid,East,Web,36,30.11,7.48,1,4,30.11,0,Moderate,Mid,Medium
100038,Prepaid,West,Web,11,28.35,17.04,0,2,30.47,1,Heavy,Mid,Low
100039,Postpaid,East,App,31,26.67,7.71,0,3,26.67,1,Moderate,Mid,Medium
100040,Postpaid,North,App,33,34.82,5.76,1,4,34.82,1,Moderate,Mid,Medium
100041,Family,West,App,24,38.04,40.11,1,2,49.84,0,Power,High,Medium
100042,Postpaid,Central,Web,4,27.51,13.28,3,0,28.05,1,Moderate,Mid,Medium
100043,Prepaid,North,App,45,21.64,9.42,3,2,21.64,0,Moderate,Mid,Medium
100044,Family,North,Partner,15,32.45,11.33,1,2,32.45,0,Moderate,Mid,Medium
100045,Family,West,App,35,39.2,16.32,3,2,41.02,1,Heavy,High,Medium
100046,Postpaid,West,Partner,52,34.4,15.91,2,1,36.05,0,Heavy,High,Medium
100047,Prepaid,South,App,8,16.8,6.1,0,4,16.8,1,Moderate,Low,Medium
100048,Postpaid,East,App,49,25.15,21.13,0,1,28.98,0,Heavy,Mid,Low
100049,Prepaid,West,App,27,22.55,7.92,1,3,22.55,1,Moderate,Mid,Medium
100050,Prepaid,East,App,37,16.34,9.02,1,2,16.34,1,Moderate,Low,Medium
100051,Prepaid,North,Partner,6,14.09,6.66,0,4,14.09,1,Moderate,Low,Medium
100052,Family,North,Store,36,36.33,12.17,1,2,36.41,0,Moderate,High,Medium
100053,Postpaid,East,App,28,34.55,26.59,1,5,40.68,1,Heavy,High,Elevated
100054,Postpaid,Central,Partner,13,21.37,13.04,1,3,21.81,1,Moderate,Mid,Medium
100055,Family,East,App,39,33.17,25.27,0,4,38.74,0,Heavy,High,Medium
100056,Postpaid,South,App,47,19.94,14.18,0,2,20.86,0,Moderate,Mid,Low
100057,Postpaid,Central,App,29,30.02,14.65,2,2,31.13,1,Moderate,Mid,Medium
100058,Prepaid,South,Store,46,19.97,15.15,1,1,21.29,1,Heavy,Mid,Low
100059,Prepaid,East,Partner,25,11.96,5.62,2,2,11.96,1,Moderate,Low,Medium
100060,Postpaid,North,App,60,32.83,18.18,1,5,35.43,0,Heavy,High,Elevated
100061,Postpaid,West,Web,21,39.14,18.99,0,2,42.08,0,Heavy,High,Low
100062,Postpaid,West,App,58,30.38,0.2,0,2,30.38,0,Light,Mid,Low
100063,Family,West,App,28,44.56,36.22,2,0,54.73,0,Power,High,Low
100064,Postpaid,South,Web,41,43.07,14.73,0,2,44.21,0,Moderate,High,Low
100065,Postpaid,East,Web,5,26.87,13.91,1,2,27.67,1,Moderate,Mid,Medium
