customer_id,plan_type,region,acquisition_channel,tenure_months,monthly_fee,monthly_usage_gb,support_tickets_90d,payment_delay_days,monthly_revenue,churned
100000,Family,East,Web,67,45.56,37.64,0,1,56.34,0
100001,Postpaid,South,Store,58,24.15,6.6,1,3,24.15,0
100002,Family,North,App,16,42.69,13.74,0,0,43.42,0
100003,Postpaid,Central,App,13,30.17,19.13,1,3,33.17,0
100004,Prepaid,North,App,25,12.15,1.75,1,1,12.15,0
100005,Business,South,App,34,53.37,23.71,0,3,58.29,0
100006,Family,South,App,22,27.63,13.44,0,2,28.23,0
100007,Family,Central,Web,7,42.65,2.23,1,4,42.65,0
100008,Prepaid,West,App,36,21.93,8.28,1,1,21.93,1
100009,Postpaid,East,Web,30,33.24,3.92,0,1,33.24,0
100010,Postpaid,Central,Partner,22,28.75,12.88,0,2,29.12,1
100011,Business,North,App,60,45.34,24.77,1,1,50.7,0
100012,Postpaid,Central,Partner,21,37.1,21.24,0,5,40.98,0
100013,Family,North,App,65,31.38,27.6,1,5,37.94,0
100014,Postpaid,South,Web,1,33.76,6.91,2,3,33.76,0
100015,Prepaid,North,Partner,38,14.08,3.9,0,5,14.08,0
100016,Postpaid,Central,Web,69,23.64,10.45,1,3,23.64,0
100017,Prepaid,Central,App,21,19.87,12.09,0,3,19.91,0
100018,Family,East,App,48,50.65,14.09,3,2,51.53,0
100019,Postpaid,South,App,53,36.1,21.14,1,4,39.94,0
100020,Family,South,Partner,25,29.7,0.2,1,3,29.7,0
100021,Postpaid,East,App,47,36.78,17.68,1,4,39.16,0
100022,Business,South,Store,47,56.62,22.96,0,1,61.23,0
100023,Family,North,App,34,25.92,25.3,0,4,31.51,0
100024,Family,West,App,28,35.99,12.85,0,4,36.35,1
100025,Prepaid,West,App,35,22.84,5.09,2,2,22.84,0
100026,Postpaid,Central,App,11,33.26,19.31,2,3,36.33,0
100027,Prepaid,East,Store,36,20.22,8.61,0,3,20.22,0
100028,Prepaid,South,App,24,22.83,5.79,3,5,22.83,1
100029,Postpaid,East,Store,25,34.19,22.96,1,3,38.79,0
100030,Family,North,Store,18,47.63,21.95,0,4,51.81,0
100031,Business,West,App,38,68.04,10.43,0,4,68.04,0
100032,Prepaid,West,Web,1,13.33,9.73,1,4,13.33,0
100033,Postpaid,North,Store,5,37.58,11.17,1,1,37.58,0
100034,Postpaid,South,Store,16,22.46,16.48,1,5,24.34,0
100035,Prepaid,Central,App,42,14.61,5.05,3,2,14.61,0
100036,Prepaid,East,App,19,22.11,12.4,2,1,22.28,0
100037,Postpaid,East,Web,36,30.11,7.48,1,4,30.11,0
100038,Prepaid,West,Web,11,28.35,17.04,0,2,30.47,1
100039,Postpaid,East,App,31,26.67,7.71,0,3,26.67,1
100040,Postpaid,North,App,33,34.82,5.76,1,4,34.82,1
100041,Family,West,App,24,38.04,40.11,1,2,49.84,0
100042,Postpaid,Central,Web,4,27.51,13.28,3,0,28.05,1
100043,Prepaid,North,App,45,21.64,9.42,3,2,21.64,0
100044,Family,North,Partner,15,32.45,11.33,1,2,32.45,0
100045,Family,West,App,35,39.2,16.32,3,2,41.02,1
100046,Postpaid,West,Partner,52,34.4,15.91,2,1,36.05,0
100047,Prepaid,South,App,8,16.8,6.1,0,4,16.8,1
100048,Postpaid,East,App,49,25.15,21.13,0,1,28.98,0
100049,Prepaid,West,App,27,22.55,7.92,1,3,22.55,1
100050,Prepaid,East,App,37,16.34,9.02,1,2,16.34,1
100051,Prepaid,North,Partner,6,14.09,6.66,0,4,14.09,1
100052,Family,North,Store,36,36.33,12.17,1,2,36.41,0
100053,Postpaid,East,App,28,34.55,26.59,1,5,40.68,1
100054,Postpaid,Central,Partner,13,21.37,13.04,1,3,21.81,1
100055,Family,East,App,39,33.17,25.27,0,4,38.74,0
100056,Postpaid,South,App,47,19.94,14.18,0,2,20.86,0
100057,Postpaid,Central,App,29,30.02,14.65,2,2,31.13,1
100058,Prepaid,South,Store,46,19.97,15.15,1,1,21.29,1
100059,Prepaid,East,Partner,25,11.96,5.62,2,2,11.96,1
100060,Postpaid,North,App,60,32.83,18.18,1,5,35.43,0
100061,Postpaid,West,Web,21,39.14,18.99,0,2,42.08,0
100062,Postpaid,West,App,58,30.38,0.2,0,2,30.38,0
100063,Family,West,App,28,44.56,36.22,2,0,54.73,0
100064,Postpaid,South,Web,41,43.07,14.73,0,2,44.21,0
100065,Postpaid,East,Web,5,26.87,13.91,1,2,27.67,1
100066,Postpaid,North,Store,6,26.89,17.13,3,5,29.04,0
100067,Prepaid,Central,App,72,14.58,11.2,1,2,14.58,0
100068,Prepaid,North,App,1,22.6,10.72,1,2,22.6,1
100069,Postpaid,West,Web,40,33.23,26.2,1,5,39.2,0
100070,Prepaid,West,Store,33,11.7,2.52,2,1,11.7,1
100071,Postpaid,North,App,46,31.96,17.62,2,2,34.32,1
100072,Family,South,App,1,41.79,23.2,2,4,46.5,1
100073,Prepaid,North,Web,14,23.4,15.42,2,1,24.84,0
100074,Prepaid,East,App,25,24.53,2.46,0,2,24.53,0
100075,Prepaid,Central,Web,67,9.36,6.48,2,1,9.36,0
100076,Prepaid,East,Web,26,18.0,8.72,2,3,18.0,1
100077,Postpaid,Central,App,42,28.83,14.94,3,1,30.06,0
100078,Postpaid,North,Store,42,34.86,6.23,2,0,34.86,1
100079,Family,South,Store,30,50.54,24.27,2,3,55.69,0
100080,Postpaid,Central,Store,60,31.14,17.82,0,1,33.58,0
100081,Postpaid,Central,Partner,52,24.79,9.45,1,1,24.79,0
100082,Family,South,Store,32,38.86,14.76,0,1,40.02,1
100083,Prepaid,West,App,22,21.31,9.93,1,2,21.31,1
100084,Prepaid,Central,App,21,14.75,4.06,1,4,14.75,0
100085,Prepaid,West,Store,68,14.26,14.85,1,0,15.45,0
100086,Family,West,App,10,34.36,5.79,2,1,34.36,0
100087,Postpaid,North,Web,13,31.14,17.91,3,3,33.63,0
100088,Prepaid,North,App,19,19.82,8.17,0,1,19.82,0
100089,Postpaid,West,App,60,29.78,11.56,1,3,29.78,0
100090,Prepaid,East,App,50,19.14,4.03,0,3,19.14,1
100091,Postpaid,South,Web,70,23.07,2.96,0,3,23.07,0
100092,Postpaid,South,Web,52,25.26,19.92,0,1,28.59,0
100093,Postpaid,South,Store,36,29.2,9.33,4,1,29.2,0
100094,Prepaid,East,App,3,21.22,5.47,0,2,21.22,0
100095,Postpaid,South,Partner,64,21.47,27.0,0,5,27.77,0
100096,Postpaid,South,Partner,49,30.02,23.84,2,3,34.99,0
100097,Prepaid,North,App,6,23.82,4.79,3,2,23.82,1
100098,Prepaid,Central,Web,70,25.03,9.1,2,6,25.03,0
100099,Business,West,Partner,45,63.28,18.87,2,2,66.16,0
100100,Family,North,App,45,35.62,25.83,0,2,41.43,0
100101,Postpaid,East,App,26,34.1,19.73,0,2,37.35,0
100102,Prepaid,East,Store,24,21.53,6.46,3,2,21.53,0
100103,Business,West,App,27,33.64,21.05,2,3,37.44,0
100104,Family,West,Web,4,27.4,24.55,1,3,32.67,1
100105,Postpaid,West,Store,33,16.8,3.15,0,6,16.8,0
100106,Postpaid,West,App,5,23.71,15.91,3,2,25.35,1
100107,Prepaid,North,App,43,18.14,10.8,4,4,18.14,1
100108,Prepaid,South,Web,15,19.98,0.26,1,3,19.98,0
100109,Family,North,App,45,33.53,13.58,2,3,34.2,0
100110,Postpaid,East,App,27,31.92,14.59,2,3,33.01,0
100111,Prepaid,East,App,21,18.48,1.79,1,4,18.48,0
100112,Prepaid,West,Web,11,23.87,0.88,3,2,23.87,1
100113,Postpaid,North,App,28,37.81,8.67,1,3,37.81,0
100114,Prepaid,West,App,5,14.95,7.33,3,3,14.95,0
100115,Family,South,Web,18,44.01,12.91,2,1,44.39,0
100116,Family,South,App,34,43.06,11.87,0,4,43.06,1
100117,Postpaid,West,Web,46,32.66,8.95,1,3,32.66,0
100118,Postpaid,North,App,34,15.14,13.34,1,6,15.71,0
100119,Postpaid,South,Web,8,29.2,12.96,1,2,29.61,0
100120,Postpaid,South,App,52,28.1,8.47,4,1,28.1,0
100121,Postpaid,West,App,31,22.55,20.47,0,3,26.11,1
100122,Prepaid,North,App,46,22.56,17.09,3,3,24.69,1
100123,Postpaid,Central,Partner,71,27.62,13.21,0,0,28.13,1
100124,Prepaid,Central,Web,4,21.32,9.27,3,4,21.32,1
100125,Postpaid,West,App,72,22.54,6.1,1,0,22.54,0
100126,Prepaid,South,App,69,18.04,9.52,2,6,18.04,1
100127,Prepaid,West,App,38,21.69,7.75,4,3,21.69,0
100128,Prepaid,North,App,2,24.72,17.56,0,1,27.05,0
100129,Postpaid,Central,App,18,45.19,22.02,1,1,49.4,0
100130,Prepaid,East,Partner,17,19.93,4.49,1,1,19.93,1
100131,Business,North,App,43,59.58,21.17,0,3,63.44,0
100132,Postpaid,South,Partner,50,28.06,8.34,0,2,28.06,0
100133,Postpaid,West,App,36,37.82,13.06,1,2,38.26,1
100134,Postpaid,Central,Web,26,23.81,19.01,3,2,26.75,1
100135,Prepaid,East,App,4,25.93,11.89,1,3,25.93,0
100136,Business,East,App,68,50.97,38.86,1,0,62.26,0
100137,Postpaid,West,Web,72,32.33,26.56,0,5,38.45,0
100138,Family,West,App,3,59.2,23.76,0,2,64.14,0
100139,Prepaid,West,Web,24,15.15,3.75,0,5,15.15,0
100140,Postpaid,South,Web,71,34.76,14.45,1,4,35.79,1
100141,Postpaid,West,Partner,29,20.92,17.27,1,3,23.13,0
100142,Business,Central,Web,45,51.34,29.3,0,2,58.6,0
100143,Postpaid,North,App,37,18.08,17.53,1,4,20.4,0
100144,Postpaid,South,App,46,28.05,2.19,1,1,28.05,0
100145,Prepaid,North,Web,64,19.98,4.1,1,3,19.98,0
100146,Prepaid,South,App,28,28.98,0.2,3,5,28.98,0
100147,Postpaid,West,Store,58,26.54,15.69,1,2,28.09,0
100148,Postpaid,North,App,33,32.49,22.55,0,2,36.92,1
