plan_type,region,value_segment,customers,avg_revenue,churn_rate,avg_usage_gb
Prepaid,West,High,1,36.17,1.0,0.2
Business,East,Mid,1,28.63,1.0,16.19
Family,East,Low,2,19.2,0.5,21.19
Family,South,Low,2,18.22,0.5,12.84
Prepaid,Central,Mid,223,23.79,0.417,8.27
Prepaid,South,Low,540,15.29,0.4167,7.75
Prepaid,Central,Low,453,14.89,0.4018,7.91
Prepaid,East,Low,478,15.39,0.4017,7.76
Prepaid,West,Mid,354,23.47,0.4011,8.39
Prepaid,North,Mid,296,23.43,0.3986,8.82
Prepaid,North,Low,542,15.37,0.3875,7.98
Prepaid,West,Low,680,15.12,0.3853,7.69
Prepaid,South,Mid,298,23.45,0.3826,8.22
Prepaid,East,Mid,261,23.06,0.364,7.95
Postpaid,East,Low,30,17.94,0.3333,10.62
Postpaid,North,Low,30,17.34,0.3333,11.57
Family,South,High,382,43.98,0.3089,20.75
Postpaid,Central,Mid,479,29.0,0.3069,13.09
Business,North,VIP,85,66.63,0.3059,28.99
Business,East,VIP,73,67.48,0.3014,29.89
Business,West,VIP,120,67.03,0.2917,30.38
Postpaid,West,Mid,800,29.07,0.2912,12.91
Business,South,High,100,53.98,0.29,24.23
Family,North,Mid,114,30.33,0.2895,16.22
Postpaid,East,Mid,548,29.0,0.2865,13.33
Business,West,High,118,53.14,0.2797,23.04
Postpaid,North,High,287,38.81,0.2787,16.71
Family,North,High,327,43.69,0.2783,20.07
Family,Central,High,284,44.02,0.2782,19.82
Family,East,Mid,90,30.84,0.2778,16.34
Postpaid,South,Mid,648,29.19,0.2762,13.29
Postpaid,West,High,359,38.99,0.2758,16.73
Postpaid,South,High,280,39.0,0.275,16.29
Postpaid,Central,High,212,39.0,0.2689,16.47
Family,West,High,481,44.02,0.2682,19.78
Family,West,Mid,127,31.0,0.2677,14.81
Business,Central,High,83,53.93,0.2651,23.27
Postpaid,West,Low,34,18.22,0.2647,11.42
Postpaid,North,Mid,594,28.98,0.2576,13.22
Family,West,VIP,4,63.34,0.25,33.06
Business,East,High,82,53.08,0.2439,22.99
Postpaid,South,Low,37,17.45,0.2432,11.02
Family,East,High,350,44.26,0.24,19.52
Postpaid,East,High,209,38.91,0.2344,15.75
Business,Central,VIP,86,67.18,0.2326,29.51
Business,North,High,86,53.2,0.2326,22.79
Family,South,Mid,89,30.6,0.2247,13.99
Postpaid,Central,Low,27,17.55,0.2222,12.89
Family,Central,Mid,86,31.21,0.2093,15.78
Family,South,VIP,5,63.85,0.2,27.32
Business,South,VIP,109,66.82,0.1743,30.46
Family,East,VIP,3,62.59,0.0,25.79
Family,North,VIP,2,61.18,0.0,33.67
Family,Central,VIP,3,61.14,0.0,21.57
Business,West,Mid,1,32.82,0.0,15.06
Business,South,Mid,1,32.31,0.0,15.82
Family,West,Low,2,18.88,0.0,8.54
Family,North,Low,2,17.47,0.0,6.28
